unit,title,line,issue,previous_line,item
,,33,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",write short sentences with a clear main message
,,39,starts_lowercase; missing_terminal_punctuation,Use this module in the same way each time:,read the example comparison and notice what changed
1,Clear Sentence Structure,51,starts_lowercase,"By the end of this unit, I will be able to:",write short clear sentences using basic subject-verb-object or subject-verb-complement patterns.
1,Clear Sentence Structure,52,starts_lowercase,- write short clear sentences using basic subject-verb-object or subject-verb-complement patterns.,rewrite long or indirect sentences in a simpler administrative style.
1,Clear Sentence Structure,53,starts_lowercase,- rewrite long or indirect sentences in a simpler administrative style.,write a short work-related message using clear sentence structure.
1,Clear Sentence Structure,109,missing_terminal_punctuation,The stronger version works because the reader can see the action immediately:,**send**
1,Clear Sentence Structure,153,starts_lowercase; missing_terminal_punctuation,Rewrite the word groups as clear SVO or SVC sentences.,application / our office / receive / yesterday
1,Clear Sentence Structure,179,starts_lowercase; missing_terminal_punctuation,Administrative readers often need to understand:,what happened
2,Professional Tone Basics,346,starts_lowercase,"By the end of this unit, I will be able to:",make a short request sound more polite and professional.
2,Professional Tone Basics,347,starts_lowercase,- make a short request sound more polite and professional.,rewrite direct or emotional wording in a neutral workplace style.
2,Professional Tone Basics,348,starts_lowercase,- rewrite direct or emotional wording in a neutral workplace style.,write a short professional email for a simple administrative situation.
2,Professional Tone Basics,399,starts_lowercase; missing_terminal_punctuation,The stronger version works because it:,reduces pressure on the reader
2,Professional Tone Basics,456,missing_terminal_punctuation,Professional tone is:,**Clear** (not too long or complicated)
2,Professional Tone Basics,476,starts_lowercase; missing_terminal_punctuation,"If a message sounds calm and clear, the reader can focus on:",what is needed
2,Professional Tone Basics,552,starts_lowercase; missing_terminal_punctuation,Try to improve all three areas:,tone
2,Professional Tone Basics,653,starts_lowercase; missing_terminal_punctuation,Write:,a direct version you should **not** send
2,Professional Tone Basics,658,starts_lowercase; missing_terminal_punctuation,Then note:,what changed
3,Paragraph Structure,718,starts_lowercase,"By the end of this unit, I will be able to:",identify the main parts of a paragraph.
3,Paragraph Structure,719,starts_lowercase,- identify the main parts of a paragraph.,organise sentences into a clear paragraph with logical flow.
3,Paragraph Structure,720,starts_lowercase,- organise sentences into a clear paragraph with logical flow.,"write a short administrative paragraph with topic, supporting detail, and closing."
3,Paragraph Structure,755,missing_terminal_punctuation,Start a new paragraph when:,The **topic changes**
3,Paragraph Structure,794,starts_lowercase; missing_terminal_punctuation,Paragraph B is weaker because the reader has to jump between different topics:,guidelines
3,Paragraph Structure,809,starts_lowercase; missing_terminal_punctuation,"In administrative writing, this matters because the reader often needs to know:",what the topic is
3,Paragraph Structure,838,missing_terminal_punctuation,Label each sentence:,**T** = Topic sentence
3,Paragraph Structure,870,missing_terminal_punctuation,"A paragraph should follow a clear, logical order:",Background ->Details ->Result
3,Paragraph Structure,886,starts_lowercase; missing_terminal_punctuation,Do not add every fact you know. Choose the facts that belong to the same paragraph job:,explaining a problem
3,Paragraph Structure,897,starts_lowercase; missing_terminal_punctuation,"Put these sentences in a logical order, then add **one more supporting sentence**. Build the paragraph so it moves from:",background check
3,Paragraph Structure,904,missing_terminal_punctuation,Mini support sentence example:,"""The missing forms affect the first documentation check and may delay the next review step."""
3,Paragraph Structure,1029,starts_lowercase; missing_terminal_punctuation,Turn it into a short paragraph for a report or internal summary by adding:,one topic sentence
3,Paragraph Structure,1150,starts_lowercase; missing_terminal_punctuation,"After writing, add three notes:",where you improved sentence clarity
3,Paragraph Structure,1211,starts_lowercase; missing_terminal_punctuation,Why this stronger version works:,each sentence has one clear job
3,Paragraph Structure,1243,starts_lowercase; missing_terminal_punctuation,Test one short message with the board:,identify the strongest sentence
3,Paragraph Structure,1251,starts_lowercase; missing_terminal_punctuation,"The early units matter because later modules depend on them. A weak sentence pattern in Module 1 often becomes a weak email, weak notice, or weak report line later. If the basic control layer is strong, later module tasks become easier to revise. Write one short note after revising:",which sentence became clearer
3,Paragraph Structure,1270,starts_lowercase; missing_terminal_punctuation,"By the end of this module, you should be able to:",organise a short professional email that is easy to scan
3,Paragraph Structure,1277,starts_lowercase; missing_terminal_punctuation,Use the module support actively:,compare the example versions before you draft
4,Email Layout and Standard Phrases,1289,starts_lowercase,"By the end of this unit, I will be able to:",identify the main parts of a professional email.
4,Email Layout and Standard Phrases,1290,starts_lowercase,- identify the main parts of a professional email.,"write a short, clear subject line for a workplace email."
4,Email Layout and Standard Phrases,1291,starts_lowercase,"- write a short, clear subject line for a workplace email.",write a simple professional email with an appropriate opening and closing.
4,Email Layout and Standard Phrases,1365,starts_lowercase; missing_terminal_punctuation,Email B is stronger because every part has a clear job:,the subject line names the topic
4,Email Layout and Standard Phrases,1374,starts_lowercase,It is weak because the reader still has to ask:,what part is unclear?
4,Email Layout and Standard Phrases,1393,missing_terminal_punctuation,A good subject line is:,Short
4,Email Layout and Standard Phrases,1453,missing_terminal_punctuation,- Thank you.,"Kind regards,"
4,Email Layout and Standard Phrases,1498,starts_lowercase; missing_terminal_punctuation,It tells the reader what kind of message this is:,a question
4,Email Layout and Standard Phrases,1542,missing_terminal_punctuation,Write your email:,**Subject line:**
4,Email Layout and Standard Phrases,1640,starts_lowercase; missing_terminal_punctuation,"For each situation below, write:",a clear subject line
5,Requesting Clarification,1693,starts_lowercase,"By the end of this unit, I will be able to:",write polite clarification questions about unclear or missing information.
5,Requesting Clarification,1694,starts_lowercase,- write polite clarification questions about unclear or missing information.,ask for specific details instead of writing a vague question.
5,Requesting Clarification,1695,starts_lowercase,- ask for specific details instead of writing a vague question.,write a short clarification email about one clear problem.
5,Requesting Clarification,1696,starts_lowercase,- write a short clarification email about one clear problem.,"explain, in a short paragraph, why clarification is needed in a workplace situation."
5,Requesting Clarification,1705,missing_terminal_punctuation,Read the sentences below. Identify what is **unclear** or **missing**.,"""The document is not correct."""
5,Requesting Clarification,1750,starts_lowercase; missing_terminal_punctuation,The stronger question works because it:,names the exact unclear point
5,Requesting Clarification,1788,starts_lowercase; missing_terminal_punctuation,Each stronger question should show:,what part is unclear
5,Requesting Clarification,1844,starts_lowercase; missing_terminal_punctuation,Clarification writing is easier to answer when the reader does not need to guess:,what is unclear
5,Requesting Clarification,1950,missing_terminal_punctuation,Write your email:,**Subject:**
5,Requesting Clarification,2045,starts_lowercase; missing_terminal_punctuation,Write:,one weak email that asks too many things
5,Requesting Clarification,2050,starts_lowercase; missing_terminal_punctuation,Then note:,what information you removed
5,Requesting Clarification,2067,missing_terminal_punctuation,Your paragraph should:,Describe the background
5,Requesting Clarification,2074,starts_lowercase; missing_terminal_punctuation,Useful paragraph order:,short background
6,Communicating Delays or Changes,2132,starts_lowercase,"By the end of this unit, I will be able to:",explain a delay or change using neutral professional language.
6,Communicating Delays or Changes,2133,starts_lowercase,- explain a delay or change using neutral professional language.,organise an update message in a clear order.
6,Communicating Delays or Changes,2134,starts_lowercase,- organise an update message in a clear order.,write a short update email about a delay or schedule change.
6,Communicating Delays or Changes,2135,starts_lowercase,- write a short update email about a delay or schedule change.,summarise a delay or change in a short report-style paragraph.
6,Communicating Delays or Changes,2144,missing_terminal_punctuation,Read each message and identify what information a reader would still need.,"""The review will be delayed."""
6,Communicating Delays or Changes,2190,starts_lowercase; missing_terminal_punctuation,The stronger version works because the reader learns:,what changed
6,Communicating Delays or Changes,2232,starts_lowercase; missing_terminal_punctuation,Try to replace vague updates with:,what changed
6,Communicating Delays or Changes,2268,missing_terminal_punctuation,A clear update message usually follows this pattern:,**Topic:** What is delayed or changed
6,Communicating Delays or Changes,2286,starts_lowercase; missing_terminal_punctuation,The paragraph moves in a useful order:,topic
6,Communicating Delays or Changes,2353,missing_terminal_punctuation,Write your email:,**Subject:**
6,Communicating Delays or Changes,2457,starts_lowercase; missing_terminal_punctuation,Choose one update message you wrote in this unit. Rewrite it as a short internal report paragraph by changing:,the audience
6,Communicating Delays or Changes,2480,missing_terminal_punctuation,Your paragraph should:,Describe the change or delay
7,Making Requests Politely,2527,starts_lowercase,"By the end of this unit, I will be able to:",choose a polite request structure for a workplace email.
7,Making Requests Politely,2528,starts_lowercase,- choose a polite request structure for a workplace email.,make a request more specific and useful by adding the necessary detail.
7,Making Requests Politely,2529,starts_lowercase,- make a request more specific and useful by adding the necessary detail.,soften a request without making it unclear.
7,Making Requests Politely,2530,starts_lowercase,- soften a request without making it unclear.,write a short professional email requesting information or action.
7,Making Requests Politely,2582,starts_lowercase; missing_terminal_punctuation,The stronger version works because it:,sounds cooperative rather than forceful
7,Making Requests Politely,2591,starts_lowercase; missing_terminal_punctuation,"Different request forms sound **more or less polite**. In administrative writing, the level of politeness depends on:",your relationship with the reader
7,Making Requests Politely,2644,starts_lowercase; missing_terminal_punctuation,Make each request stronger by adding:,the exact item or action
7,Making Requests Politely,2650,starts_lowercase; missing_terminal_punctuation,Mini request frame:,action needed
7,Making Requests Politely,2700,starts_lowercase; missing_terminal_punctuation,Specific requests are easier to answer because they name:,which document or information is needed
7,Making Requests Politely,2736,missing_terminal_punctuation,Administrative English avoids:,"Imperatives (Send, Tell, Check...)"
7,Making Requests Politely,2758,starts_lowercase; missing_terminal_punctuation,Good request writing balances:,clear action
7,Making Requests Politely,2803,missing_terminal_punctuation,Write your email:,**Subject:**
7,Making Requests Politely,2912,starts_lowercase; missing_terminal_punctuation,Write:,a safe standard version using `Could you...?`
7,Making Requests Politely,2917,starts_lowercase; missing_terminal_punctuation,Then decide:,which version is better for a colleague
7,Making Requests Politely,2937,missing_terminal_punctuation,Write a **neutral paragraph** (5-6 sentences) explaining:,What information is needed
