line,severity,category,message,text
17,medium,frequent_duplicate_heading,Heading repeated 23 times; likely semantic component not structural heading: Unit Overview,Unit Overview
30,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Identifying Confusing Sentences (A2)
60,medium,frequent_duplicate_heading,Heading repeated 18 times; likely semantic component not structural heading: Compare Two Versions (B1),Compare Two Versions (B1)
60,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Compare Two Versions (B1)
69,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Why this works:** The revised version is clearer not because every sentence is short, but because each sentence has one main communicative job. Verification, action, internal checking, and possible consequence are separated into stages, so the reader does not have to process several competing re"
73,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Noticing Task (B2)
84,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Teaching point:** Segmentation is a relationship between two sentences, not a feature inside one sentence. Writers use it when one sentence is carrying too many logical jobs at once and the reader needs the information separated into clearer stages."
90,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Key principle:** Sentence clarity is not primarily about length — it is about logical load. A sentence becomes unclear when the reader has to track too many competing relationships at once. The three tools below — coordination, subordination, and segmentation — each help manage logical load in a"
106,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Note on contrast:** Both *but* and *however* express contrast between equal ideas. Use *but* for lighter contrast within a single sentence; use *; however,* when the contrast is emphatic or the ideas are more complex. Compare this with *although* (subordination), which makes the contrast idea se"
125,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Note on contrast:** *Although* and *while* express contrast subordinately — the contrasting idea is framed as background, not equal. Compare: *The guidelines were revised, but some teams continued using the previous version* (equal contrast) vs. *Although the guidelines were revised, some teams "
138,medium,heading_contains_activity_code,Heading contains activity code metadata,#### 3. Clarity Patterns for Administrative Writing (C3)
154,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation",> **Patterns 1 and 2 compared:** Both connect an action with a rationale. The difference is emphasis and order: Pattern 1 leads with the action (what will happen); Pattern 2 leads with the purpose (why it matters). Use Pattern 2 when the reason needs to come first to frame the request — especially i
186,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Rewrite the Model Text (D1)
201,medium,heading_contains_activity_code,Heading contains activity code metadata,#### Write Your Own Complex Sentence (D2)
205,high,blockquote_as_callout,"Blockquote appears to be a labelled callout, not a quotation","> **Before you write:** Do not choose the longest sentence as the ""best"" version automatically. Choose the version that makes the relationship between ideas easiest for the intended reader to process."
