source,paragraph_type,subtype,styles_or_forms,total,line_or_paragraph,style_or_form,kind,text
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,32,plain,body,"Read the following sentences. Identify what makes each one difficult to follow, and underline the section where the sentence loses clarity."
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,50,plain,body,Below are two versions of an excerpt from an internal explanation memo.
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,134,plain,body,Choose the most appropriate connector for each sentence.
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,903,plain,body,"Below are seven pieces of information presented without structure or logical order. Reorganise them into a coherent two-paragraph explanation. You may add connectors and reference words, but do not add new content."
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,1052,plain,body,Read the following email. Identify what is missing or unclear — and explain why it would be difficult for the reader to act on it.
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,1387,plain,body,Read the following clarification request. Identify the specific problems that would make it difficult for the reader to respond usefully.
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,2375,plain,body,Read the following internal procedure notice.
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,2682,plain,body,"Read the following scenario. Before turning to the model text, write down five elements you would expect a well-written change management notice to include."
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,714,plain-prompt-label,prompt-label,Below are eight short excerpts from administrative paragraphs. Sort them into two groups:
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,1300,plain-prompt-label,prompt-label,"Before submitting, check that your email:"
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,1627,plain-prompt-label,prompt-label,"Before submitting, check that your writing:"
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,1973,plain-prompt-label,prompt-label,"Before submitting, check that your writing:"
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,2279,plain-prompt-label,prompt-label,"Before submitting, check that your message:"
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,2589,plain-prompt-label,prompt-label,"Before submitting, check your procedure against the following:"
markdown,instruction/prompt,activity instruction,plain=19; plain-prompt-label=17,36,2906,plain-prompt-label,prompt-label,"Before submitting, check your notice against the following:"
