unit,title,line,letter,heading
19,Integrated Task 1: Combined Email + Internal Explanation,8495,A,A. Warm-Up
19,Integrated Task 1: Combined Email + Internal Explanation,8637,D,D. Guided Practice
19,Integrated Task 1: Combined Email + Internal Explanation,8716,E,E. Freer Practice
19,Integrated Task 1: Combined Email + Internal Explanation,8790,E,E. Extended Writing Task
19,Integrated Task 1: Combined Email + Internal Explanation,8825,F,F. Reflection
19,Integrated Task 1: Combined Email + Internal Explanation,8836,H,H. Homework
20,Integrated Task 2: Revision + Notice Writing,8887,A,A. Warm-Up
20,Integrated Task 2: Revision + Notice Writing,9030,D,D. Guided Practice
20,Integrated Task 2: Revision + Notice Writing,9087,E,E. Freer Practice
20,Integrated Task 2: Revision + Notice Writing,9161,E,E. Extended Writing Task
20,Integrated Task 2: Revision + Notice Writing,9195,F,F. Reflection
20,Integrated Task 2: Revision + Notice Writing,9206,H,H. Homework
21,Writing for Consistency Across a Team,9263,A,A. Warm-Up
21,Writing for Consistency Across a Team,9546,E,E. Extended Writing Task
21,Writing for Consistency Across a Team,9583,F,F. Reflection
21,Writing for Consistency Across a Team,9594,H,H. Homework
22,Multi-Document Communication Task,9640,A,A. Warm-Up
22,Multi-Document Communication Task,9768,D,D. Guided Practice
22,Multi-Document Communication Task,9791,D,D. Guided Practice
22,Multi-Document Communication Task,9865,E,E. Freer Practice
22,Multi-Document Communication Task,9958,E,E. Extended Writing Task
22,Multi-Document Communication Task,9996,F,F. Reflection
22,Multi-Document Communication Task,10007,H,H. Homework
23,Portfolio Writing & Final Revision,10057,A,A. Warm-Up
23,Portfolio Writing & Final Revision,10270,E,E. Final Portfolio Submission
23,Portfolio Writing & Final Revision,10310,F,F. Portfolio Balance Check
23,Portfolio Writing & Final Revision,10371,F,F. Portfolio Review Rubric
23,Portfolio Writing & Final Revision,10394,G,G. Editing Practice
23,Portfolio Writing & Final Revision,10436,F,F. Reflection
23,Portfolio Writing & Final Revision,10447,H,H. Homework
