line,priority,change_type,target_class,current_text,action,target_pattern,notes
30,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Identifying Confusing Sentences (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Identifying Confusing Sentences — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
52,high,standardize_model_label_and_wrap_sample,model-bad,#### Original Version,Replace model heading label and wrap associated sample in semantic Div,"::: model-bad
**Original Text**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
54,medium,convert_or_review_blockquote_group,semantic-div,"> *""Because we were unable to verify the applicant's supporting documents during the initial review, and since the translation submitted last week contained several inconsistencies that require clarification, we will need to request an updated version; however, before doing so, we must confirm internally whether the missing information is essential for the current stage of examination. Additionally, the team noted that some details may have been omitted unintentionally, which could affect the accuracy of further processing if not corrected promptly.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
56,high,standardize_model_label_and_wrap_sample,model-good,#### Revised Version,Replace model heading label and wrap associated sample in semantic Div,"::: model-good
**Revised Text**
...
:::","Use Text, not Version, to emphasize writing sample. Red=bad/original, green=good/revised."
58,medium,convert_or_review_blockquote_group,semantic-div,"> *""We were unable to verify the applicant's supporting documents during the initial review. The translation submitted last week contained several inconsistencies that require clarification, so we will request an updated version. Before doing so, we will confirm internally whether the missing information is essential at this stage. The team has also noted that some details may have been omitted unintentionally; if left uncorrected, this could affect the accuracy of further processing.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
60,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Compare Two Versions (B1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Compare Two Texts — Tone and Clarity Analysis (B1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
69,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The revised version is clearer not because every sentence is short, but because each sentence has one main communicative job. Verification, action, internal checking, and possible consequence are separated into stages, so the reader does not have to process several competing relationships at once.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
73,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Noticing Task (B2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Noticing Task — Identify the Writing Pattern (B2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
84,high,convert_blockquote_to_learn_div,learn-teaching,"> **Teaching point:** Segmentation is a relationship between two sentences, not a feature inside one sentence. Writers use it when one sentence is carrying too many logical jobs at once and the reader needs the information separated into clearer stages.",Convert teaching point to semantic Learn Div,"::: learn-teaching
**Learn — Teaching Point:** ...
:::",Concept/rule explanation.
90,high,convert_blockquote_to_learn_div,learn-principle,"> **Key principle:** Sentence clarity is not primarily about length — it is about logical load. A sentence becomes unclear when the reader has to track too many competing relationships at once. The three tools below — coordination, subordination, and segmentation — each help manage logical load in a different way.",Convert key principle to semantic Learn Div,"::: learn-principle
**Learn — Key Principle:** ...
:::",High-significance conceptual rule.
92,medium,standardize_minor_heading_punctuation_capitalization,heading,#### 1. Coordination (joining equal ideas),Standardize punctuation/capitalization,#### 1. Coordination (joining Equal Ideas),Keep as heading only if it is a true theory subsection or micro-label.
106,high,convert_blockquote_to_learn_div,learn-language,"> **Note on contrast:** Both *but* and *however* express contrast between equal ideas. Use *but* for lighter contrast within a single sentence; use *; however,* when the contrast is emphatic or the ideas are more complex. Compare this with *although* (subordination), which makes the contrast idea secondary — see Section 2.",Convert language/usage note to semantic Learn Div,"::: learn-language
**Learn — Note on Contrast:** ...
:::","For vocabulary, grammar, phrase usage, register, or contrast notes. Not learn-process."
119,medium,standardize_minor_heading_punctuation_capitalization,heading,#### 2. Subordination (showing supporting or secondary ideas),Standardize punctuation/capitalization,#### 2. Subordination (showing Supporting or Secondary Ideas),Keep as heading only if it is a true theory subsection or micro-label.
125,high,convert_blockquote_to_learn_div,learn-language,"> **Note on contrast:** *Although* and *while* express contrast subordinately — the contrasting idea is framed as background, not equal. Compare: *The guidelines were revised, but some teams continued using the previous version* (equal contrast) vs. *Although the guidelines were revised, some teams continued using the previous version* (revision is background; continued use is the main point).",Convert language/usage note to semantic Learn Div,"::: learn-language
**Learn — Note on Contrast:** ...
:::","For vocabulary, grammar, phrase usage, register, or contrast notes. Not learn-process."
140,medium,convert_or_review_blockquote_group,semantic-div,> The arrow (→) in each pattern title shows the order in which ideas are presented in the sentence.,Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
154,medium,review_blockquote_label,learn-note,> **Patterns 1 and 2 compared:** Both connect an action with a rationale. The difference is emphasis and order: Pattern 1 leads with the action (what will happen); Pattern 2 leads with the purpose (why it matters). Use Pattern 2 when the reason needs to come first to frame the request — especially in external or formal correspondence.,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
