paragraph_type,forms,total,line,form,kind,text
title:a. adding information,heading-5=1,1,799,heading-5,heading,##### A. Adding Information
title:a. opening & activation,heading-3=23,23,28,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,394,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,719,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1057,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1392,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,1722,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,2083,heading-3,heading,### A. Opening & Activation
title:a. opening & activation,heading-3=23,23,2380,heading-3,heading,### A. Opening & Activation
title:actions taken,bold-only=1,1,6926,bold-only,bold-title,**Actions Taken**
"title:administrative writing, advanced",heading-4=1,1,7947,heading-4,heading,"#### Administrative Writing, Advanced"
title:analytic rubric,heading-4=1,1,7991,heading-4,heading,#### Analytic Rubric
title:annotated model - model feature analysis,heading-4=3,3,2750,heading-4,heading,#### Annotated Model — Model Feature Analysis
title:annotated model - model feature analysis,heading-4=3,3,4466,heading-4,heading,#### Annotated Model — Model Feature Analysis
title:annotated model - model feature analysis,heading-4=3,3,5192,heading-4,heading,#### Annotated Model — Model Feature Analysis
title:annotated model - model feature analysis (code) ★,heading-4=1,1,1774,heading-4,heading,#### Annotated Model — Model Feature Analysis (B4) ★
title:applicant processing - code summary,bold-only=1,1,5525,bold-only,bold-title,**Applicant Processing — Q3 Summary**
title:areas for improvement:,bold-only=1,1,5169,bold-only,bold-title,**Areas For Improvement:**
"title:asking clear, answerable questions",heading-4=1,1,3781,heading-4,heading,"#### 2. Asking Clear, Answerable Questions"
title:audience signals and layered explanation,heading-4=1,1,4498,heading-4,heading,#### 1. Audience Signals and Layered Explanation
title:audience-appropriate tone - guided skill practice,heading-4=1,1,526,heading-4,heading,#### 3. Audience-Appropriate Tone — Guided Skill Practice
title:avoiding assumed knowledge,heading-4=1,1,4527,heading-4,heading,#### 2. Avoiding Assumed Knowledge
title:b. model text,heading-3=23,23,48,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,412,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,750,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1073,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1408,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,1742,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,2097,heading-3,heading,### B. Model Text
title:b. model text,heading-3=23,23,2407,heading-3,heading,### B. Model Text
title:b. showing result,heading-5=1,1,803,heading-5,heading,##### B. Showing Result
title:building the rationale: reasoning and benefits,heading-4=1,1,4866,heading-4,heading,#### 2. Building the Rationale: Reasoning and Benefits
title:c. language focus,heading-3=23,23,101,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,457,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,795,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1114,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1452,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,1822,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,2141,heading-3,heading,### C. Language Focus
title:c. language focus,heading-3=23,23,2462,heading-3,heading,### C. Language Focus
title:c. showing contrast,heading-5=1,1,807,heading-5,heading,##### C. Showing Contrast
title:capstone scenario,heading-4=1,1,7682,heading-4,heading,#### Capstone Scenario
title:change management notice template,heading-4=1,1,2843,heading-4,heading,#### Change Management Notice Template
title:clarity patterns for administrative writing - guided skill practice,heading-4=1,1,169,heading-4,heading,#### 3. Clarity Patterns For Administrative Writing — Guided Skill Practice
title:classification / matching - match functions and forms,heading-4=2,2,3074,heading-4,heading,#### Classification / Matching — Match Functions And Forms
title:classification / matching - match functions and forms,heading-4=2,2,3751,heading-4,heading,#### Classification / Matching — Match Functions And Forms
title:cohesive devices - guided skill practice,heading-4=1,1,797,heading-4,heading,#### 1. Cohesive Devices — Guided Skill Practice
title:comparative peer review - compare revision choices,heading-4=5,5,3927,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices
title:comparative peer review - compare revision choices,heading-4=5,5,5361,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices
title:comparative peer review - compare revision choices,heading-4=5,5,6013,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices
title:comparative peer review - compare revision choices,heading-4=5,5,7256,heading-4,heading,#### Comparative Peer Review — Compare Revision Choices
