unit,title,line,text
1,Clear Sentence Structure,327,{{PH-3: U01-transfer-response | rows=6}}
2,Professional Tone Basics,447,**Write Here**
2,Professional Tone Basics,506,**Write Here**
2,Professional Tone Basics,564,Use this box for one complete version.
2,Professional Tone Basics,566,**Write Here**
2,Professional Tone Basics,608,**Write Here**
2,Professional Tone Basics,668,**Write Here**
2,Professional Tone Basics,670,{{PH-1: U02-transfer-response | rows=4}}
3,Paragraph Structure,928,**Write Here**
3,Paragraph Structure,954,Use this box for one complete version.
3,Paragraph Structure,956,**Write Here**
3,Paragraph Structure,1039,**Write Here**
3,Paragraph Structure,1041,{{PH-2: U03-transfer-response | rows=4}}
3,Paragraph Structure,1156,**Write Here**
4,Email Layout and Standard Phrases,1436,**Write Here**
4,Email Layout and Standard Phrases,1476,**Write Here**
4,Email Layout and Standard Phrases,1527,**Write Here**
4,Email Layout and Standard Phrases,1551,Use this box for one complete version.
4,Email Layout and Standard Phrases,1553,**Write Here**
4,Email Layout and Standard Phrases,1597,Use this box for one complete version.
4,Email Layout and Standard Phrases,1599,**Write Here**
4,Email Layout and Standard Phrases,1655,**Write Here**
4,Email Layout and Standard Phrases,1657,{{PH-1: U04-transfer-response | rows=4}}
5,Requesting Clarification,1815,**Write Here**
5,Requesting Clarification,1873,**Write Here**
5,Requesting Clarification,1905,**Write Here**
5,Requesting Clarification,1935,**Write Here**
5,Requesting Clarification,1959,Use this box for one complete version.
5,Requesting Clarification,1961,**Write Here**
6,Communicating Delays or Changes,2259,**Write Here**
6,Communicating Delays or Changes,2338,**Write Here**
6,Communicating Delays or Changes,2362,Use this box for one complete version.
6,Communicating Delays or Changes,2364,**Write Here**
6,Communicating Delays or Changes,2467,**Write Here**
6,Communicating Delays or Changes,2469,{{PH-2: U06-transfer-response | rows=4}}
7,Making Requests Politely,2673,**Write Here**
7,Making Requests Politely,2727,**Write Here**
7,Making Requests Politely,2788,**Write Here**
7,Making Requests Politely,2813,Use this box for one complete version.
7,Making Requests Politely,2815,**Write Here**
7,Making Requests Politely,2926,**Write Here**
7,Making Requests Politely,2928,{{PH-1: U07-transfer-response | rows=4}}
7,Making Requests Politely,3140,- delayed response from another office
8,Writing Simple Procedures,3423,**Write Here**
8,Writing Simple Procedures,3457,**Write Here**
8,Writing Simple Procedures,3482,**Write Here**
8,Writing Simple Procedures,3505,Use this box for one complete version.
8,Writing Simple Procedures,3507,**Write Here**
8,Writing Simple Procedures,3564,Use this box for one complete version.
8,Writing Simple Procedures,3566,**Write Here**
8,Writing Simple Procedures,3598,Use this box for one complete version.
8,Writing Simple Procedures,3600,**Write Here**
8,Writing Simple Procedures,3651,**Write Here**
8,Writing Simple Procedures,3653,{{PH-1: U08-transfer-response | rows=4}}
9,Internal Notices,3840,**Write Here**
9,Internal Notices,3880,**Write Here**
9,Internal Notices,3902,Use this box for one complete version.
9,Internal Notices,3904,**Write Here**
9,Internal Notices,4033,**Write Here**
9,Internal Notices,4035,{{PH-2: U09-transfer-response | rows=4}}
9,Internal Notices,4066,Use this box for one complete version.
9,Internal Notices,4068,**Write Here**
10,Explaining Problems Clearly,4261,**Write Here**
10,Explaining Problems Clearly,4297,**Write Here**
10,Explaining Problems Clearly,4324,**Write Here**
10,Explaining Problems Clearly,4433,**Write Here**
10,Explaining Problems Clearly,4435,{{PH-2: U10-transfer-response | rows=4}}
11,Writing Simple Meeting Summaries,4640,**Write Here**
11,Writing Simple Meeting Summaries,4659,**Write Here**
11,Writing Simple Meeting Summaries,4764,**Write Here**
11,Writing Simple Meeting Summaries,4766,{{PH-2: U11-transfer-response | rows=4}}
11,Writing Simple Meeting Summaries,4798,Use this box for one complete version.
11,Writing Simple Meeting Summaries,4802,**Write Here**
11,Writing Simple Meeting Summaries,4929,- problem explanations need situation + cause + effect + current response
11,Writing Simple Meeting Summaries,5017,| Problem explanation | understand disruption | problem -> cause -> effect -> current response | the main problem |
11,Writing Simple Meeting Summaries,5094,- current response
12,Writing Simple External Inquiries,5375,**Write Here**
12,Writing Simple External Inquiries,5418,**Write Here**
12,Writing Simple External Inquiries,5433,Use this box for one complete version.
12,Writing Simple External Inquiries,5437,**Write Here**
12,Writing Simple External Inquiries,5480,Use this box for one complete version.
12,Writing Simple External Inquiries,5484,**Write Here**
12,Writing Simple External Inquiries,5531,**Write Here**
12,Writing Simple External Inquiries,5533,{{PH-1: U12-transfer-response | rows=4}}
12,Writing Simple External Inquiries,5566,Use this box for one complete version.
12,Writing Simple External Inquiries,5570,**Write Here**
13,Providing Simple Explanations,5778,**Write Here**
13,Providing Simple Explanations,5793,You can test your answer with three quick questions:
13,Providing Simple Explanations,5813,**Write Here**
13,Providing Simple Explanations,5840,**Write Here**
13,Providing Simple Explanations,5929,**Write Here**
13,Providing Simple Explanations,5931,{{PH-1: U13-transfer-response | rows=4}}
14,Responding to Confusion,6006,- write a short response that corrects a misunderstanding without blaming the reader.
14,Responding to Confusion,6014,"When someone is confused, your response should:"
14,Responding to Confusion,6048,A Good Clarification Response
14,Responding to Confusion,6058,Example Check: Why the Stronger Response Works
14,Responding to Confusion,6060,The example response is stronger because it does three things in order:
14,Responding to Confusion,6077,"If the writer gives only the correction, the response may feel too abrupt."
14,Responding to Confusion,6107,The response should stay focused on solving the confusion.
14,Responding to Confusion,6112,Practice A: Improve the Response
14,Responding to Confusion,6114,Rewrite each response to make it clear and polite.
14,Responding to Confusion,6156,**Write Here**
14,Responding to Confusion,6158,{{PH-1: U14-practice-a-response | rows=6}}
14,Responding to Confusion,6180,**Write Here**
14,Responding to Confusion,6187,Guided Practice: Write a Clarification Response
14,Responding to Confusion,6193,Write a response that:
14,Responding to Confusion,6199,Write your response:
14,Responding to Confusion,6201,Use this box for one complete version.
14,Responding to Confusion,6205,**Write Here**
14,Responding to Confusion,6228,"For each one, write a short response to the person who is confused or has misunderstood the information."
14,Responding to Confusion,6240,"In each response, acknowledge the confusion, state the correct information, and add one useful detail. Write your responses:"
14,Responding to Confusion,6246,**Response 1**
14,Responding to Confusion,6248,{{PH-3: U14-freer-response-1 | rows=10}}
14,Responding to Confusion,6250,**Response 2**
14,Responding to Confusion,6252,{{PH-3: U14-freer-response-2 | rows=10}}
14,Responding to Confusion,6266,Rewrite this response so it becomes clearer and more professional.
14,Responding to Confusion,6293,**Write Here**
14,Responding to Confusion,6295,{{PH-1: U14-transfer-response | rows=4}}
14,Responding to Confusion,6341,3. How would your response change if the reader were a colleague instead of an outside contact?
14,Responding to Confusion,6350,"Find an unclear message from a real situation. Write a clear, polite response to correct the misunderstanding."
14,Responding to Confusion,6352,"If you do not want to use a real situation, choose one Unit 14 freer-practice option and write the response for that case instead."
15,Maintaining Consistent Email Style,6511,**Write Here**
15,Maintaining Consistent Email Style,6610,Use this box for one complete version.
15,Maintaining Consistent Email Style,6614,**Write Here**
15,Maintaining Consistent Email Style,6705,**Write Here**
15,Maintaining Consistent Email Style,6707,{{PH-1: U15-transfer-response | rows=4}}
15,Maintaining Consistent Email Style,6772,"- Unit 14: A clarification response is stronger when it restates the point, answers it clearly, and avoids defensive language."
15,Maintaining Consistent Email Style,6814,"- [ ] If the reader was confused before, does the response sound helpful rather than defensive?"
15,Maintaining Consistent Email Style,7079,**Write Here**
16,Editing for Accuracy,7340,Use this box for one complete version.
16,Editing for Accuracy,7344,**Write Here**
17,Editing for Clarity,7630,**Write Here**
17,Editing for Clarity,7704,**Write Here**
17,Editing for Clarity,7794,**Write Here**
17,Editing for Clarity,7796,{{PH-1: U17-transfer-response | rows=4}}
18,Editing for Tone,8004,**Write Here**
18,Editing for Tone,8082,Use this box for one complete version.
18,Editing for Tone,8086,**Write Here**
18,Editing for Tone,8178,**Write Here**
18,Editing for Tone,8180,{{PH-1: U18-transfer-response | rows=4}}
19,Integrated Task 1: Combined Email + Internal Explanation,8608,**Write Here**
19,Integrated Task 1: Combined Email + Internal Explanation,8629,Use this box for one complete version.
19,Integrated Task 1: Combined Email + Internal Explanation,8676,Use this box for one complete version.
19,Integrated Task 1: Combined Email + Internal Explanation,8786,**Write Here**
19,Integrated Task 1: Combined Email + Internal Explanation,8788,{{PH-1: U19-transfer-response | rows=4}}
20,Integrated Task 2: Revision + Notice Writing,9000,**Write Here**
