line,priority,category,current,action,target
30,high,activity_heading,#### Identifying Confusing Sentences (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
52,high,model_label_heading,#### Original Version,Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
56,high,model_label_heading,#### Revised Version,Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.
60,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
69,high,process_rationale_callout,"> **Why this works:** The revised version is clearer not because every sentence is short, but because each sentence has one main communicative job. Verification, action, internal checking, and possible consequence are separated into stages, so the reader does not have to process several competing re",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes."
73,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
84,high,teaching_point_callout,"> **Teaching point:** Segmentation is a relationship between two sentences, not a feature inside one sentence. Writers use it when one sentence is carrying too many logical jobs at once and the reader needs the information separated into clearer stages.",Convert to semantic teaching-point callout,`teaching-point`: concept/rule explanation. Blue/neutral callout.
90,high,key_principle_callout,"> **Key principle:** Sentence clarity is not primarily about length — it is about logical load. A sentence becomes unclear when the reader has to track too many competing relationships at once. The three tools below — coordination, subordination, and segmentation — each help manage logical load in a",Convert to semantic key-principle callout,`key-principle`: high-significance theory principle. Stronger than an ordinary note.
92,low,theory_subsection,#### 1. Coordination (joining equal ideas),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
98,low,bold_label_review,**Common patterns:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
106,high,language_usage_note,"> **Note on contrast:** Both *but* and *however* express contrast between equal ideas. Use *but* for lighter contrast within a single sentence; use *; however,* when the contrast is emphatic or the ideas are more complex. Compare this with *although* (subordination), which makes the contrast idea se",Convert blockquote to language note callout,`language-note` or more specifically `note-contrast`: explains usage/meaning/form contrast. Do not classify as `why-this-works`.
108,high,bold_activity_label,**Practice A — Add Coordinators (C2)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
119,low,theory_subsection,#### 2. Subordination (showing supporting or secondary ideas),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
123,low,bold_label_review,"**Common subordinators:** *because, although, when, while, since, unless, even if, even though*",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
125,high,language_usage_note,"> **Note on contrast:** *Although* and *while* express contrast subordinately — the contrasting idea is framed as background, not equal. Compare: *The guidelines were revised, but some teams continued using the previous version* (equal contrast) vs. *Although the guidelines were revised, some teams",Convert blockquote to language note callout,`language-note` or more specifically `note-contrast`: explains usage/meaning/form contrast. Do not classify as `why-this-works`.
127,high,bold_activity_label,**Practice B — Identify the Subordination Function (C2)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
138,low,theory_subsection,#### 3. Clarity Patterns for Administrative Writing (C3),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.
142,medium,micro_theory_label,##### Pattern 1: Main Idea → Reason,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.
148,medium,micro_theory_label,##### Pattern 2: Purpose Clause → Main Action,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.
154,low,bold_label_review,> **Patterns 1 and 2 compared:** Both connect an action with a rationale. The difference is emphasis and order: Pattern 1 leads with the action (what will happen); Pattern 2 leads with the purpose (why it matters). Use Pattern 2 when the reason needs to come first to frame the request — especially i,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
156,medium,micro_theory_label,##### Pattern 3: Segmenting Dense Content,Convert to compact theory label,Use a non-heading label style inside the theory section. Do not include in outline/navigation.
164,medium,example_label,**Example:**,Convert to compact example label/component,`example` block only when the example is a full block; otherwise use inline label style.
170,high,bold_activity_label,**Practice C — Apply the Patterns (C3)**,Convert bold activity label to activity component,Same rule as activity headings: separate family/title/code metadata.
186,high,activity_heading,#### Rewrite the Model Text (D1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
198,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
201,high,activity_heading,#### Write Your Own Complex Sentence (D2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
205,low,bold_label_review,"> **Before you write:** Do not choose the longest sentence as the ""best"" version automatically. Choose the version that makes the relationship between ideas easiest for the intended reader to process.",Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.
221,high,student_response_placeholder_label,**Version 1**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
224,high,student_response_placeholder_label,**Version 2**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
227,high,student_response_placeholder_label,**Version 3**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
230,high,student_response_placeholder_label,**Planning Notes**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
235,high,activity_heading,#### Scenario-Based Free Write (E1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
252,high,student_response_placeholder_label,**Draft Here**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
257,high,activity_heading,#### Self-Editing Checklist (F3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
271,high,activity_heading,#### Editing Exercise (G1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
284,high,student_response_placeholder_label,**Write Your Revised Version**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
289,high,activity_heading,#### Homework Writing Task (H3),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
302,high,student_response_placeholder_label,**Homework Draft**,Convert to placeholder/response field component,`placeholder` or response-label style. Visually quiet but clearly writable.
305,high,activity_heading,#### Extension Task (H1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
335,high,activity_heading,#### Discussion Questions (A1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading."
