"LineNum","Title","Category"
"76","Original Text","BAD"
"82","Revised Text","GOOD"
"395","Original Text","BAD"
"401","Revised Text","GOOD"
"521","Worked Example","GOOD"
"729","Original Text","BAD"
"735","Revised Text","GOOD"
"1019","Example Text","NEUTRAL"
"1038","Original Text","BAD"
"1044","Revised Text — Executive-Level Summary","GOOD"
"1110","Worked Example","GOOD"
"1271","Original Text — Weak Response","BAD"
"1338","Example Text","NEUTRAL"
"1357","Original Text","BAD"
"1363","Revised Text — Strong Response","GOOD"
"1472","Worked Example","GOOD"
"1655","Example Text","NEUTRAL"
"1661","Example Text","NEUTRAL"
"1686","Original Text","BAD"
"1692","Revised Text","GOOD"
"1726","Example Text","NEUTRAL"
"1738","Example Text","NEUTRAL"
"1750","Example Text","NEUTRAL"
"1762","Example Text","NEUTRAL"
"1774","Example Text","NEUTRAL"
"1786","Example Text","NEUTRAL"
"1850","Worked Example","GOOD"
"2055","Original Text","BAD"
"2061","Revised Text","GOOD"
"2135","Example Text","NEUTRAL"
"2149","Worked Example","GOOD"
"2259","Example Text","NEUTRAL"
"2335","Worked Example","GOOD"
"2357","Original Text","BAD"
"2363","Revised Text","GOOD"
"2451","Worked Example","GOOD"
"2494","Example Text","NEUTRAL"
"2563","Example Text","NEUTRAL"
"2664","Original Text","BAD"
"2670","Revised Text","GOOD"
"2737","Worked Example","GOOD"
"2861","Example Text","NEUTRAL"
"2937","Example Text","NEUTRAL"
"2957","Original Text","BAD"
"2963","Revised Text","GOOD"
"3048","Worked Example","GOOD"
"3163","Example Text","NEUTRAL"
"3235","Example Text","NEUTRAL"
"3254","Original Text","BAD"
"3260","Revised Text","GOOD"
"3350","Example Text","NEUTRAL"
"3356","Worked Example","GOOD"
"3481","Example Text","NEUTRAL"
"3569","Example Text","NEUTRAL"
"3599","Original Text","BAD"
"3605","Revised Text","GOOD"
"3790","Example Text","NEUTRAL"
"3869","Example Text","NEUTRAL"
"3967","Original Text","BAD"
"3973","Revised Text","GOOD"
"4081","Worked Example","GOOD"
"4294","Example Text","NEUTRAL"
"4304","Example Text","NEUTRAL"
"4323","Original Text","BAD"
"4329","Revised Text","GOOD"
"4356","Example Text","NEUTRAL"
"4368","Example Text","NEUTRAL"
"4380","Example Text","NEUTRAL"
"4392","Example Text","NEUTRAL"
"4404","Example Text","NEUTRAL"
"4416","Example Text","NEUTRAL"
"4490","Example Text","NEUTRAL"
"4498","Worked Example","GOOD"
"4612","Example Text","NEUTRAL"
"4678","Example Text","NEUTRAL"
"4703","Original Text","BAD"
"4709","Revised Text","GOOD"
"4815","Worked Example","GOOD"
"4931","Example Text","NEUTRAL"
"5047","Original Text","BAD"
"5053","Revised Text","GOOD"
"5163","Worked Example","GOOD"
"5367","Original Text","BAD"
"5373","Revised Text","GOOD"
"5481","Example Text","NEUTRAL"
"5487","Worked Example","GOOD"
"5604","Example Text","NEUTRAL"
"5670","Example Text","NEUTRAL"
"5677","Example Text","NEUTRAL"
"5684","Example Text","NEUTRAL"
"5705","Original Text","BAD"
"5711","Revised Text","GOOD"
"5828","Worked Example","GOOD"
"5942","Example Text","NEUTRAL"
"6026","Example Text","NEUTRAL"
"6032","Example Text","NEUTRAL"
"6054","Example Text","NEUTRAL"
"6078","Original Text","BAD"
"6084","Revised Text","GOOD"
"6159","Worked Example","GOOD"
"6246","Example Text","NEUTRAL"
"6339","Example Text","NEUTRAL"
"6410","Example Text","NEUTRAL"
"6429","Original Text","BAD"
"6435","Revised Text","GOOD"
"6594","Worked Example","GOOD"
"6708","Example Text","NEUTRAL"
"6779","Example Text","NEUTRAL"
"6798","Original Text","BAD"
"6804","Revised Text","GOOD"
"6854","Worked Example","GOOD"
"7078","Example Text","NEUTRAL"
"7164","Example Text","NEUTRAL"
"7232","Example Text","NEUTRAL"
"7239","Example Text","NEUTRAL"
"7246","Example Text","NEUTRAL"
"7253","Example Text","NEUTRAL"
"7277","Revised Text","GOOD"
"7298","Original Text","BAD"
"7339","Example Text","NEUTRAL"
"7352","Worked Example","GOOD"
"7394","Example Text","NEUTRAL"
"7481","Example Text","NEUTRAL"
"7566","Response A","NEUTRAL"
"7572","Response B","NEUTRAL"
"7612","Worked Example","GOOD"
"7742","Example Text","NEUTRAL"
