line,heading,has_subtitle,suggested_standardized_heading
60,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
73,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
186,Rewrite the Model Text (D1),False,Rewrite the Model Text (D1) — Activity Focus
201,Write Your Own Complex Sentence (D2),False,Write Your Own Complex Sentence (D2) — Activity Focus
235,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
257,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
271,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
289,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
305,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
358,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
371,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
475,Rewrite the Model Text (D1),False,Rewrite the Model Text (D1) — Activity Focus
512,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
535,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
542,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
556,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
575,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
589,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
654,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
667,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
779,Reorganise and Rewrite (D5),False,Reorganise and Rewrite (D5) — Activity Focus
803,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
821,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
828,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
842,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
860,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
876,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
928,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
1051,Template-Guided Writing (D3) ★,False,Template-Guided Writing (D3) ★ — Activity Focus
1122,Peer Review (F1),False,Peer Review (F1) — Activity Focus
1133,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
1147,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
1165,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
1188,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
1230,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
1252,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
1417,Peer Review (F1),False,Peer Review (F1) — Activity Focus
1428,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
1442,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
1464,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
1486,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
1532,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
1713,Peer Review (F1),False,Peer Review (F1) — Activity Focus
1724,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
1738,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
1774,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
1797,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
1837,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
1858,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
1994,Peer Review (F1),False,Peer Review (F1) — Activity Focus
2005,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
2019,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
2035,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
2057,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
2094,Real Document Analysis (A5),False,Real Document Analysis (A5) — Activity Focus
2117,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
2143,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
2232,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
2258,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
2267,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
2308,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
2328,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
2382,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
2468,Template-Guided Writing (D3),False,Template-Guided Writing (D3) — Activity Focus
2506,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
2532,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
2541,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
2583,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
2604,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
2647,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
2666,Noticing Task (B2),False,Noticing Task — Identify The Writing Pattern
2742,Scenario-Based Writing (D2),False,Scenario-Based Writing (D2) — Activity Focus
2767,Constrained Free Write (E2),False,Constrained Free Write (E2) — Activity Focus
2793,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
2802,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
2817,Editing Exercise (G1),False,Editing Exercise — Improve Clarity And Flow
2840,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
2861,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
2903,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
3045,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
3072,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
3081,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
3122,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
3144,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
3183,Real Document Analysis (A5),False,Real Document Analysis (A5) — Activity Focus
3213,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
3343,Rewrite the Original Inquiry (D1),False,Rewrite the Original Inquiry (D1) — Activity Focus
3405,Comparative Peer Review (F2),False,Comparative Peer Review (F2) — Activity Focus
3416,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
3465,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
3486,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
3527,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
3640,Rewrite the Original Text (D1),False,Rewrite the Original Text (D1) — Activity Focus
3655,Scenario-Based Risk Assessment (D2),False,Scenario-Based Risk Assessment (D2) — Activity Focus
3683,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
3709,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
3718,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
3764,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
3784,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
3831,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
3933,Rewrite the Original Message (D1),False,Rewrite the Original Message (D1) — Activity Focus
3997,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
4006,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
4045,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
4059,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
4087,Real Document Analysis (A5),False,Real Document Analysis (A5) — Activity Focus
4109,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
4130,Reading-to-Write Input (B6),False,Reading-to-Write Input (B6) — Activity Focus
4211,Rewrite the Original Rationale (D1),False,Rewrite the Original Rationale (D1) — Activity Focus
4225,Template-Guided Writing (D3),False,Template-Guided Writing (D3) — Activity Focus
4252,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
4279,Guided Peer Review (F1),False,Guided Peer Review — Structured Feedback Exchange
4288,Self-Editing Checklist (F3),False,Self-Editing Checklist — Final Revision Audit
4330,Homework Writing Task (H3),False,Homework Writing Task — Independent Administrative Writing
4351,Extension Task (H1),False,Extension Task — Advanced Transfer Practice
4413,Compare Two Versions (B1),False,Compare Two Texts — Tone And Clarity Analysis
4552,Scenario-Based Free Write (E1),False,Scenario-Based Free Write — Realistic Administrative Response
