line,priority,category,current,action,target,revised_status,revised_instruction
30,high,activity_heading,#### Identifying Confusing Sentences (A2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
52,high,model_label_heading,#### Original Version,Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
56,high,model_label_heading,#### Revised Version,Convert fake heading to model block label,Use `model-bad` for original/problematic/disjointed/too-direct source text; use `model-good` for revised/improved/cohesive/diplomatic model text. Preserve the visible label wording.,UPDATE_TO_MODEL_TEXT_POLICY,Standardize wording from Version to Text. Use Original Text / Revised Text. Use model-bad/model-good semantic Div around the sample block where practical.
60,high,activity_heading,#### Compare Two Versions (B1),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
69,high,process_rationale_callout,"> **Why this works:** The revised version is clearer not because every sentence is short, but because each sentence has one main communicative job. Verification, action, internal checking, and possible consequence are separated into stages, so the reader does not have to process several competing re",Convert blockquote to semantic callout AFTER model/instruction only,"`why-this-works`: writing-process rationale after a model, comparison, or worked example. Do not use for vocabulary/grammar contrast notes.",CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
73,high,activity_heading,#### Noticing Task (B2),Convert fake heading to activity component label,"Use an activity container/label. Separate activity family, activity title, and code metadata. Do not style as a structural heading.",REVISE_INSTRUCTION,Keep as an activity subheading. Standardize to Title Case; use em dash before subtitle; keep inline activity code in Markdown; add/standardize subtitle where missing. Do not convert to semantic Div today.
84,high,teaching_point_callout,"> **Teaching point:** Segmentation is a relationship between two sentences, not a feature inside one sentence. Writers use it when one sentence is carrying too many logical jobs at once and the reader needs the information separated into clearer stages.",Convert to semantic teaching-point callout,`teaching-point`: concept/rule explanation. Blue/neutral callout.,CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
90,high,key_principle_callout,"> **Key principle:** Sentence clarity is not primarily about length — it is about logical load. A sentence becomes unclear when the reader has to track too many competing relationships at once. The three tools below — coordination, subordination, and segmentation — each help manage logical load in a",Convert to semantic key-principle callout,`key-principle`: high-significance theory principle. Stronger than an ordinary note.,CONVERT_TO_LEARN_DIV,"Replace blockquote/bold note with a Learn semantic Div subtype: learn-process, learn-language, learn-principle, learn-transfer, learn-teaching, or learn-note."
92,low,theory_subsection,#### 1. Coordination (joining equal ideas),Keep as true subsection but clean metadata,Keep as `####` only if it is a genuine Language Focus theory subsection. Move trailing activity code such as `(C3)` into muted metadata if possible.,KEEP_OR_LIGHT_NORMALIZE,Keep if it is a true theory/micro-theory label. Standardize Title Case and punctuation; avoid treating activity codes as student-facing emphasis.
98,low,bold_label_review,**Common patterns:**,Review and convert if label is functioning structurally,Likely compact label/component style rather than ordinary bold body text.,REVIEW,Review under final Step 1 decisions; avoid changes that conflict with keeping activity subheadings and metadata codes in Markdown.
